,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
HS 112 ,Urdu Poetry Interpretation,3,1,0,,4,Mohd. Mubashshir Ahsan (I+T),,"R2, R3",,,HS 112                    Details,40,,HSS,,,,,
HS 211,Exploring India’s Scientific and Technological Heritage,3,0,0,,4,Michel Danino,,L,,,HS 211,40,,HSS,,,,,
HS 223 ,Sanskrit Literature,3,1,0,,4,Mana Shah (I+T),,J,,,HS 223 ,40,,HSS,,,,,
HS 305 ,Perspectives in Psychology,3,0,0,,4,Meera Sunny,,N,,,HS 305 ,40,,HSS,,,,,
HS 391,Special Topics in HSS: Music Traditions of India,3,0,0,,4,Srinivas Reddy,,"R1, R2",,,HS 391,40,,,,,,,
HS 313 ,When You Cannot Experiment: Social Science Methods,3,0,0,,4,Malavika Subramanyam,,J,,,HS 313 ,40,,HSS,,,,,
HS 411 ,Economic Concepts and Issues in Project Analysis,3,0,0,,2,A. Ramanathan,,L,,,HS 411 ,40,,HSS,,,,,
HS 425 ,Introduction to Archaeology,3,0,0,,4,Sharada Channarayapatna,,H,,,HS 425 ,40,,HSS,,,,,
HS 491-I,Special Topics in HSS: Indian philosophy through the ages,3,0,0,,4,Séraphia Heitmann,,"Monday, Thursday, and Friday 6:30 pm to 7:30 pm",,,HS 491-I,40,,HSS,,,,,
HS 491-II,Special Topics in HSS: The ‘engineering’ of theatre-making,3,0,0,,4,Arnab Banerji,,"Tuesday, Wednesday and Thursday 8PM",,,HS 491-II,40,,HSS,,,,,
